state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
WA,52000.0,54,2808000.0,1151000.0,0.58,1629000.0,2000
WV,7000.0,54,378000.0,234000.0,1.22,461000.0,2000
WI,84000.0,90,7560000.0,4385000.0,0.68,5141000.0,2000
WY,39000.0,93,3627000.0,798000.0,0.59,2140000.0,2000
AL,14000.0,73,1022000.0,235000.0,0.72,736000.0,2001
AZ,43000.0,59,2537000.0,1142000.0,0.72,1827000.0,2001
AR,50000.0,98,4900000.0,1617000.0,0.65,3185000.0,2001
CA,460000.0,61,28060000.0,7857000.0,0.69,19361000.0,2001
CO,26000.0,55,1430000.0,529000.0,0.71,1015000.0,2001
FL,220000.0,100,22000000.0,3432000.0,0.64,14080000.0,2001
GA,55000.0,57,3135000.0,188000.0,0.7,2195000.0,2001
HI,8000.0,87,696000.0,84000.0,0.87,606000.0,2001
ID,100000.0,46,4600000.0,1610000.0,0.67,3082000.0,2001
IL,6000.0,76,456000.0,251000.0,1.58,720000.0,2001
IN,7000.0,76,532000.0,186000.0,0.92,489000.0,2001
IA,33000.0,51,1683000.0,875000.0,0.75,1262000.0,2001
KS,13000.0,51,663000.0,530000.0,0.96,636000.0,2001
KY,4000.0,78,312000.0,125000.0,1.41,440000.0,2001
LA,45000.0,106,4770000.0,572000.0,0.6,2862000.0,2001
ME,11000.0,20,220000.0,106000.0,0.79,174000.0,2001
MD,4000.0,46,184000.0,55000.0,1.6,294000.0,2001
MI,76000.0,60,4560000.0,2827000.0,0.81,3694000.0,2001
MN,135000.0,81,10935000.0,1859000.0,0.65,7108000.0,2001
MS,17000.0,66,1122000.0,224000.0,0.89,999000.0,2001
MO,22000.0,61,1342000.0,336000.0,0.71,953000.0,2001
MT,136000.0,102,13872000.0,4578000.0,0.67,9294000.0,2001
NE,43000.0,48,2064000.0,1115000.0,0.72,1486000.0,2001
NV,9000.0,50,450000.0,36000.0,2.14,963000.0,2001
NJ,11000.0,34,374000.0,71000.0,0.85,318000.0,2001
NM,10000.0,70,700000.0,350000.0,0.66,462000.0,2001
NY,53000.0,70,3710000.0,1781000.0,0.79,2931000.0,2001
NC,13000.0,44,572000.0,172000.0,1.48,847000.0,2001
ND,280000.0,96,26880000.0,9408000.0,0.69,18547000.0,2001
OH,18000.0,81,1458000.0,569000.0,1.01,1473000.0,2001
OK,4000.0,47,188000.0,105000.0,1.43,269000.0,2001
OR,44000.0,44,1936000.0,1200000.0,0.74,1433000.0,2001
PA,26000.0,57,1482000.0,785000.0,0.92,1363000.0,2001
SC,7000.0,40,280000.0,67000.0,0.79,221000.0,2001
SD,235000.0,65,15275000.0,12220000.0,0.71,10845000.0,2001
TN,8000.0,59,472000.0,131000.0,1.39,656000.0,2001
TX,97000.0,79,7663000.0,1533000.0,0.65,4981000.0,2001
UT,23000.0,38,874000.0,315000.0,0.65,568000.0,2001
VT,7000.0,81,567000.0,249000.0,0.92,522000.0,2001
VA,9000.0,52,468000.0,94000.0,1.26,590000.0,2001
WA,48000.0,52,2496000.0,1048000.0,0.72,1797000.0,2001
WV,7000.0,65,455000.0,410000.0,1.42,646000.0,2001
WI,67000.0,81,5427000.0,3419000.0,0.82,4450000.0,2001
WY,38000.0,77,2926000.0,468000.0,0.65,1902000.0,2001
AL,12000.0,86,1032000.0,103000.0,1.18,1218000.0,2002
AZ,38000.0,63,2394000.0,1197000.0,1.08,2586000.0,2002
AR,45000.0,88,3960000.0,871000.0,1.26,4990000.0,2002
CA,470000.0,50,23500000.0,3525000.0,1.32,31020000.0,2002
CO,24000.0,60,1440000.0,576000.0,1.29,1858000.0,2002
FL,220000.0,93,20460000.0,2026000.0,1.14,23324000.0,2002
GA,50000.0,52,2600000.0,52000.0,1.13,2938000.0,2002
HI,7000.0,136,952000.0,29000.0,1.11,1057000.0,2002
ID,100000.0,57,5700000.0,1653000.0,1.37,7809000.0,2002
IL,9000.0,80,720000.0,130000.0,1.47,1058000.0,2002
IN,8000.0,62,496000.0,233000.0,1.19,590000.0,2002
IA,33000.0,70,2310000.0,901000.0,1.43,3303000.0,2002
KS,17000.0,52,884000.0,407000.0,1.5,1326000.0,2002
KY,5000.0,54,270000.0,78000.0,1.63,440000.0,2002
LA,35000.0,124,4340000.0,347000.0,1.16,5034000.0,2002
ME,11000.0,41,451000.0,266000.0,1.21,546000.0,2002
MD,3000.0,46,138000.0,21000.0,1.96,270000.0,2002
MI,72000.0,77,5544000.0,1885000.0,1.4,7762000.0,2002
MN,117000.0,73,8541000.0,1110000.0,1.47,12555000.0,2002
MS,18000.0,78,1404000.0,281000.0,1.23,1727000.0,2002
MO,18000.0,50,900000.0,189000.0,1.42,1278000.0,2002
MT,134000.0,63,8442000.0,1097000.0,1.38,11650000.0,2002
NE,43000.0,75,3225000.0,1161000.0,1.49,4805000.0,2002
NV,9000.0,62,558000.0,61000.0,2.67,1490000.0,2002
NJ,11000.0,40,440000.0,92000.0,1.0,440000.0,2002
NM,11000.0,44,484000.0,252000.0,1.1,532000.0,2002
